user_id,title_id,total_bid
7f34ee3,3ac14de,80
c916e74,3ac14de,8
0ebb7cd,fcce875,28
f955851,94d84c9,97
f5f5fe5,fcce875,91
7f34ee3,4d5b27f,80
0fc0e6d,0dadd2c,19
63ebb4e,94d84c9,95
68382c5,a58f02a,37
d54add0,4d5b27f,28
29a0c75,94d84c9,78
a5d9ff0,3ac14de,6
5ea2f54,94d84c9,53
6ddaf0a,ab48bee,20
d15f48b,4d5b27f,40
a3dc3b5,94d84c9,99
a8b8ec8,fcce875,54
274ef99,17401c0,42
f2bfe52,a58f02a,43
b669aff,3ac14de,43
c32df93,94d84c9,13
f955851,3ac14de,97
63ebb4e,3ac14de,95
0950056,fcce875,94
7bc35f1,fcce875,56
20cc0ec,fcce875,15
2c41194,17401c0,82
9794eca,a58f02a,74
6bf7e5a,3ac14de,35
2c41194,94d84c9,82
e433dc4,0dadd2c,44
36880d5,ab48bee,92
2fbb62b,4d5b27f,49
267542a,fcce875,61
0d3bee6,a58f02a,86
af7f32b,0dadd2c,83
b441567,ab48bee,36
3c5db15,94d84c9,37
c32df93,0dadd2c,13
2d0b257,ab48bee,87
2280e58,ab48bee,66
7bc35f1,0dadd2c,56
af7f32b,a58f02a,83
f2bfe52,a58f02a,43
9794eca,ab48bee,74
7e0da1f,a58f02a,81
ed3c605,fcce875,34
0950056,ab48bee,94
b57f651,3ac14de,44
9da2bf2,fcce875,69
3167ed7,3ac14de,98
68382c5,a58f02a,37
8a6b806,3ac14de,45
20cc0ec,fcce875,15
7f34ee3,94d84c9,80
32794e4,3ac14de,83
0ebb7cd,ab48bee,28
8798776,3ac14de,93
6badbfe,4d5b27f,64
cb56117,fcce875,50
a8b8ec8,3ac14de,54
0caee64,a58f02a,98
149ca71,0dadd2c,98
2dc5ce9,17401c0,49
7e0da1f,a58f02a,81
ecdc3f4,fcce875,53
d5da59c,ab48bee,54
7f34ee3,fcce875,80
0d3bee6,4d5b27f,86
d15f48b,4d5b27f,40
af7f32b,0dadd2c,83
2c9215b,3ac14de,40
af7f32b,4d5b27f,83
2d0b257,3ac14de,87
279b948,a58f02a,19
a8b8ec8,ab48bee,54
1395b8b,4d5b27f,32
cb56117,ab48bee,50
25b2124,17401c0,93
2fbb62b,94d84c9,49
b0a72fb,fcce875,30
b0a72fb,4d5b27f,30
7f72bec,fcce875,38
d15f48b,94d84c9,40
ebe9208,fcce875,54
1100ca9,4d5b27f,19
68382c5,94d84c9,37
29a0c75,3ac14de,78
ecdc3f4,a58f02a,53
b0a72fb,94d84c9,30
e433dc4,ab48bee,44
6bf7e5a,fcce875,35
9794eca,94d84c9,74
ed3c605,4d5b27f,34
7f72bec,4d5b27f,38
c916e74,4d5b27f,8
7b3c82d,4d5b27f,74
57de1ff,17401c0,80
b57f651,4d5b27f,44
ccb5b9f,94d84c9,62
